0.0217391	0.23913	0.0869565	0.0652174	0.23913	0.217391	0.0217391	0.0652174	0.0434783
0.0344828	0.0344828	0.103448	0.137931	0.206897	0.37931	0.0344828	0.0344828	0.0344828
0.00352113	0.084507	0.0492958	0.158451	0.147887	0.0492958	0.084507	0.411972	0.0105634
0.0357143	0.0357143	0.0714286	0.0357143	0.107143	0.571429	0.0357143	0.0714286	0.0357143
0.046875	0.0390625	0.0390625	0.03125	0.296875	0.015625	0.265625	0.257812	0.0078125
0.0454545	0.0454545	0.0909091	0.136364	0.0454545	0.0454545	0.227273	0.318182	0.0454545
0.0689655	0.0344828	0.0344828	0.0689655	0.0344828	0.551724	0.0689655	0.0344828	0.103448
0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111
0.0338983	0.0169492	0.0169492	0.0847458	0.152542	0.491525	0.0677966	0.101695	0.0338983
0.0615385	0.184615	0.0461538	0.0769231	0.153846	0.0461538	0.353846	0.0461538	0.0307692
0.0188679	0.113208	0.0188679	0.0754717	0.150943	0.54717	0.0377358	0.0188679	0.0188679
0.0277778	0.333333	0.0277778	0.0833333	0.166667	0.194444	0.0833333	0.0555556	0.0277778
0.0106383	0.0106383	0.0319149	0.0638298	0.319149	0.404255	0.0106383	0.0106383	0.138298
0.0606061	0.030303	0.0151515	0.0757576	0.272727	0.0606061	0.0757576	0.393939	0.0151515
0.0921986	0.0851064	0.138298	0.202128	0.265957	0.0106383	0.12766	0.0602837	0.0177305
0.172414	0.0206897	0.117241	0.0206897	0.0758621	0.510345	0.0137931	0.0137931	0.0551724
0.208333	0.0416667	0.0416667	0.0416667	0.208333	0.333333	0.0416667	0.0416667	0.0416667
0.0961538	0.0769231	0.0384615	0.0384615	0.269231	0.423077	0.0192308	0.0192308	0.0192308
0.0425532	0.680851	0.0425532	0.0851064	0.0212766	0.0425532	0.0425532	0.0212766	0.0212766
0.0945946	0.0810811	0.0810811	0.027027	0.189189	0.324324	0.148649	0.0135135	0.0405405
0.015873	0.031746	0.015873	0.0793651	0.365079	0.015873	0.206349	0.238095	0.031746
